pred_linear,pred_logistic
1150.3303792548052,1
1317.939450344314,1
1173.2162820630901,1
1114.205491313979,1
916.2516419247684,0
1255.846061792864,1
1026.8558087656188,0
852.8184480211843,0
955.8041081995216,0
1057.897147947628,1
1365.6762648136255,1
1086.3301306898468,1
1074.672717285511,1
1068.896421193387,1
1240.4056753774387,1
1212.9599552222553,1
854.8567150467771,0
792.8748882808788,0
1414.8204665211624,1
1625.7487434000202,1
1050.8508873803737,0
1279.6179470785164,1
1063.9987987275342,1
736.6821528256397,0
940.2865947720361,0
1339.4972320483428,1
1141.7696855515624,1
1512.4137637543197,1
878.2979275004268,0
1186.6455139824031,1
1219.6983504228497,1
1214.4052937309325,1
1128.5131573143647,1
1072.069970990072,1
1037.8761815919634,1
1031.0498855746982,1
1064.4240488453095,1
1210.1908099120622,1
800.7995922726559,0
1438.060334343402,1
990.7647504664246,0
-76.10559443039529,0
1038.494785126275,0
893.9705832662621,0
933.7739083492883,0
1091.93923001899,1
1266.6194850131046,1
956.5852581445388,0
1319.5380242284004,1
1101.9102922866991,1
826.007743772039,0
1674.9770132450753,1
1054.3884722245023,1
-85.18120376258139,0
967.2988486401449,0
1266.2361832754418,1
941.481251138368,0
1277.1762464017668,1
1182.8521899171928,1
1290.9710319913968,1
950.164852323042,0
747.7143893425846,0
935.4774985343356,0
1209.629536149896,1
1390.6766688938403,1
872.1984587256698,0
956.3273486949192,0
1269.3454900519118,1
1264.7018689478025,1
905.6682143745142,0
755.376340248171,0
937.7666110845995,0
1012.8400332220149,0
1769.3442168431889,1
1418.5931174574093,1
808.3497729782562,0
1191.9295076299334,1
916.9071008574394,0
1109.6764282202373,1
1339.160735125225,1
1018.4387394048213,1
1001.4724816853047,1
1471.986506422683,1
1086.073326601325,1
1036.456890785655,1
1112.3690375603678,1
1392.2777419566414,1
1090.6229843604635,1
1170.9633123921865,1
1111.766856374176,1
940.6367639031846,0
1122.5307317534505,1
875.3058889126368,0
1048.687561909584,0
1034.986999704331,1
1077.106679685987,1
933.1295766407345,0
1130.2133489662313,0
717.7780768831641,0
819.3392796476543,0
1079.342184606391,1
1326.8335258567568,1
1058.8764828066064,1
884.0819373220079,0
1148.197676874955,1
915.6784900066301,0
1002.9241636903927,0
1627.0164573063794,1
939.0216752479689,0
1090.7998847053573,0
880.7556879127294,0
1046.407376996469,0
893.240223283508,0
819.5404303160366,0
1189.5403851716926,1
1042.8549225143531,0
973.0560361793669,0
1398.3497185664767,1
807.3238693320477,0
1214.1316248314986,1
977.889038599632,1
1089.8333454377596,1
1012.3827433523727,1
1348.7107160557678,1
1012.884148672526,1
987.841260432923,1
714.0661605988514,0
1245.050352658434,1
985.6250712582215,0
1161.1049016083318,1
1654.5806182789274,1
1284.4456047030558,1
1250.01458289707,1
968.2309184833368,0
1156.65140422929,1
844.4795017688764,0
826.6028844566326,0
1209.4489219350494,1
842.6794722464276,0
929.0552377651703,0
1063.5423753388548,1
990.847258610515,0
774.1090517392227,0
1295.8064605311351,1
970.3096551819593,1
1242.1482336088504,1
851.6105301246491,0
1170.0488416289231,1
910.8587467697732,0
893.4828837332069,0
789.9170098415111,0
950.9953458729573,0
1505.319617369597,1
787.5320381407065,0
1163.2373372670131,1
985.9955977282689,1
745.4443870094424,0
879.4117583526267,0
735.3753159402711,0
1730.2064970488032,1
671.9899752835212,0
1076.3780673839271,1
1057.187871108648,1
1015.480263205436,1
983.1709541608415,1
1075.9544685328174,1
1185.8513200458206,1
1151.63830006655,1
1386.713879541589,1
1355.2062843920135,1
1397.3185204376105,1
1187.2581534023243,1
1175.7375722401678,1
912.3105052748977,0
1146.3703858271947,1
1048.0742262179058,1
946.1437768914799,0
1506.9510560548592,1
967.1507084687455,1
671.8241847310833,0
1090.8878404253835,1
1201.3807764283713,1
860.507524598882,0
774.0082054347105,0
1132.134584600905,1
922.2007209628265,0
1516.5276391342145,1
1095.646886707094,1
1067.410341354226,1
1003.434503973625,0
1059.971645280091,1
1389.9989955222395,1
972.7704525713513,0
1204.2023185980486,1
1630.306907268615,1
823.1536068489856,0
1039.914887238921,0
1072.9943598330165,1
1387.6868759923975,1
883.675180108771,0
856.6279021395292,0
1060.594101354122,1
1403.4232155155287,1
1269.6102094369228,1
883.6315061166072,0
1029.1445633553299,1
1426.5481524474571,1
1048.842343241532,1
1279.0562216578094,1
1366.0698333297219,1
1121.436270613358,1
967.8879196759415,0
1032.091215708216,1
-116.12314969942827,0
1076.7208378167604,1
1008.6733499373325,0
1343.94742210732,1
819.9450606895628,0
1823.9785719279203,1
1087.0335053198155,1
949.5864308451851,0
1204.4773829557334,1
839.9903034437472,0
1049.1620261095786,1
1086.1884440248455,1
1170.2913502878444,1
1121.9926978178132,1
1046.4705910581465,1
985.1261847671664,1
1078.496438621591,1
842.7830687705341,0
1170.7717754515563,1
945.4746728425566,0
809.6227935347824,0
1299.8714480771705,1
1229.213246669624,1
1304.852954461041,1
1231.327722149604,1
1077.8326316673454,1
1428.3892976185716,1
1313.409804036976,1
769.8427633807016,0
1229.6124236169665,1
1383.1270245520168,1
937.1301183101621,0
1191.2233795133432,1
1319.3129838087925,1
931.5010619196886,0
1187.3141421931236,1
1084.642276224896,1
881.7909969813562,0
1300.0695401134547,1
734.8785056360139,0
-117.74437375156276,0
1087.102359782907,0
932.8449104262955,0
1655.4962897124583,1
895.1953799166826,0
-110.5870076685178,0
947.4332679184222,1
1164.0032252671836,1
972.4532488101638,0
1221.5922847026698,1
908.8257758071227,0
1128.8384521613193,1
1102.1633888838999,1
976.1243188828332,1
1310.4368681988187,1
1137.2266455952192,1
1121.4092596353953,1
976.2478963899713,0
887.6870964097545,0
967.8090224734777,0
909.2143605448146,0
881.7014979666156,0
1081.302634587772,1
983.9985982699002,0
892.480596862199,0
1121.2188565743913,1
1014.7056190596919,1
888.9760725224536,0
1067.0186346408034,1
-103.82927707107001,0
1009.2688105449046,1
1265.7584286909855,1
911.399052926969,0
1064.0655382018883,1
1017.5694415562996,1
927.7499625128144,0
947.9553465608099,0
1200.6450968672657,1
958.0171336625745,0
947.424982143797,0
1367.5801048867202,1
1369.610335030738,1
865.7032388760581,0
906.7144122100007,0
992.3166838433608,0
1003.0706719329326,0
1224.3110991541685,1
1031.280427150966,1
1013.8720333648714,0
1046.6629163900461,1
1035.1755374833626,1
1266.4553528954973,1
1554.1992163618202,1
-120.91877552659253,0
1204.8134949946498,1
823.5521688724159,0
1290.5212667601197,1
933.8767345264945,0
1027.8898499703598,1
977.4885376003629,1
799.4099923378999,0
870.7818916624843,0
731.4620737990667,0
1166.7531478401984,1
1016.7215401983233,0
870.415323080883,0
966.4974983982843,0
945.601685233839,0
1487.694526505657,1
-99.16110141254626,0
985.270422248457,0
1626.598779862466,1
1062.0323235055218,1
1028.1912235716115,1
1119.821738774159,0
816.6955298880588,0
969.0514006292418,0
1765.8738007113448,1
1116.19400635083,1
1049.8469329877505,1
985.9619446807045,0
1018.1254289172043,1
930.6236370752987,0
1094.819395282853,1
1112.6290864737427,0
931.0000284350724,0
911.0566762273503,0
1110.511037405834,1
1038.403345105845,0
1306.257815060109,1
1391.0013692491727,1
1276.7278700784416,1
1008.3168251873952,0
907.0543811950608,0
1449.679255917973,1
889.576508292107,0
1120.9848351904348,1
976.7284148074614,0
833.7660507383993,0
1127.172272428868,1
845.0982817408806,0
1590.3543860129203,1
900.0652473446394,0
1118.1667283510274,1
1108.2734780274616,1
-70.39717661516374,0
800.4567797166225,0
1180.4939609405824,1
828.5701771198787,0
1476.953707011434,1
1126.0674311727573,1
828.7803253588612,0
884.1843045936241,0
1123.9606228618245,1
1845.8943403298717,1
853.8984532129015,0
864.3887962729782,0
916.3147183493468,1
750.3862582566244,0
921.2800273052401,1
830.5869678028145,0
1052.977409860072,1
1163.70541029036,1
826.6880086854626,0
1342.0836915603936,1
976.209775179432,0
666.0567226552,0
1214.4468225609635,1
876.6633023682855,0
956.4309912549842,0
874.8546340731651,0
1310.9735120145288,1
1430.9606325079865,1
965.4998333864829,0
1168.2788861369943,1
959.3097839213497,0
1361.4092964482957,1
780.7913197729612,0
1327.02118120387,1
